Ticker,Name,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Investable Universe (705),66400000,110060000,154810000,209000000,34,345848,3458,542.48,569.05,14220.06,444.39,5270000000,4300000000,6110000000,8700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETC US Equity,12 RETECH CORP,-54270,-16480, , , , , ,94.8565,367.834, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIH US Equity,1347 PROPERTY INSURANCE HOLD,5369000,3289000,7499000,24742000,40,403010,4030,38.9654,45.9928,56.6207,57.5813,48638700,47643376,44486292,24171312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFSH US Equity,1847 HOLDINGS LLC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWOU US Equity,2U INC,-13363000,-2438000,-19210000,-15116000,45,451030,4510,15.2579,20.0896,19.5473,12.6766,1280825216,1421621760,3387152896,2882193408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLS US Equity,3D TOTAL SOLUTIONS INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNWR US Equity,808 RENEWABLE ENERGY CORP, , , , ,55,551050,5510, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATEN US Equity,A10 NETWORKS INC,-86000,13906000,8580000,-5491000,45,451030,4510,58.4173,61.8185,56.2453,55.9586,420968320,564024640,553462272,463638240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAC US Equity,AAC HOLDINGS INC,-45332000,-37161000,-13749000, ,35,351020,3510,56.8143,59.6784,68.2055, ,434831200,171399088,214851920, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABQQ US Equity,AB INTERNATIONAL GROUP CORP,-35384,-75729,166522,-866886,45,451030,4510, ,25.4447,23.9116,12.2177, , , ,29465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVN US Equity,ABV CONSULTING INC,-57111,-67332,-159181,-75774,20,202020,2020,469.8109,1441.8704,62094.9844,1517.5973, ,5533000,9682750, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIU US Equity,AC IMMUNE SA,43840000,-6545000,-23896000,-45936000,35,352010,3520,11.1196,8.7892,11.4943,9.6324, ,749593856,714764928,627482496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIA US Equity,ACACIA COMMUNICATIONS INC,10340000,83960000,49411000,68425000,45,452010,4520,39.7326,15.89,17.865,16.471, ,2346376448,1434925440,1558912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKAO US Equity,ACHAOGEN INC,-21694000,-47804000,-102361000,-174036000,35,352010,3520,35.4516,34.8879,33.0383,107.6401,105588560,464007424,452236512,59293660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRS US Equity,ACLARIS THERAPEUTICS INC,-20876000,-34835000,-55898000,-102167000,35,352020,3520,1.6529,3.7453,7.4934,21.9338,543043136,707246144,760921408,304547264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLF US Equity,ACUSHNET HOLDINGS CORP,68629000,85094000,-45882000,130932000,25,252020,2520,81.5493,55.7173,50.7486,45.2014, ,1460384768,1570024064,1575194496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAD US Equity,ADAIAH DISTRIBUTION INC, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMS US Equity,ADAMAS PHARMACEUTICALS INC,-48609000,-49692000,0,0,35,352010,3520,9.7528,7.2224, , ,524074688,372030592,771976896,234289424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
