Ticker,Name,EPS:2015:Q1,EPS:2015:Q2,EPS:2015:Q3,EPS:2015:Q4,EPS:2016:Q1,EPS:2016:Q2,EPS:2016:Q3,EPS:2016:Q4,EPS:2017:Q1,EPS:2017:Q2,EPS:2017:Q3,EPS:2017:Q4,EPS:2018:Q1,EPS:2018:Q2,EPS:2018:Q3,EPS:2018:Q4,P/E:2015:Q1,P/E:2015:Q2,P/E:2015:Q3,P/E:2015:Q4,P/E:2016:Q1,P/E:2016:Q2,P/E:2016:Q3,P/E:2016:Q4,P/E:2017:Q1,P/E:2017:Q2,P/E:2017:Q3,P/E:2017:Q4,P/E:2018:Q1,P/E:2018:Q2,P/E:2018:Q3,P/E:2018:Q4,ROIC:2015:Q1,ROIC:2015:Q2,ROIC:2015:Q3,ROIC:2015:Q4,ROIC:2016:Q1,ROIC:2016:Q2,ROIC:2016:Q3,ROIC:2016:Q4,ROIC:2017:Q1,ROIC:2017:Q2,ROIC:2017:Q3,ROIC:2017:Q4,ROIC:2018:Q1,ROIC:2018:Q2,ROIC:2018:Q3,ROIC:2018:Q4,ROE:2015:Q1,ROE:2015:Q2,ROE:2015:Q3,ROE:2015:Q4,ROE:2016:Q1,ROE:2016:Q2,ROE:2016:Q3,ROE:2016:Q4,ROE:2017:Q1,ROE:2017:Q2,ROE:2017:Q3,ROE:2017:Q4,ROE:2018:Q1,ROE:2018:Q2,ROE:2018:Q3,ROE:2018:Q4
 ,Investable Universe (784),-2.6,-1.15,-2.13,-1.31,-1.02,-0.74,-0.91,-62.42,-0.66,-10.84,-0.87,0.27,-0.14,-0.18,-0.04,-0.09,52.16,85.31,46.68,52.7,55.41,114.63,48.13,87.65,41.94,1080,67.68,97.07,61.9,55.65,76.88,63.79,-171.67,-100.33,-137.88,-67.7,130.37,-93.72,-100.42,-99.41,-222.55,-122.99,-123.62,-54.81,-58.57,-89,-61.04,-49.1,-30.67,-27.53,-33.03,-34.98,-36.97,-38.79,-42.48,-40.63,-178.1,-43.03,-48.46,-40.46,-39.57,-41,-95.72,-41.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETC US Equity,12 RETECH CORP,0,0,0,0,0,0,0,-0.0001,0,0,-0.11, ,-0.01,-0.02,-0.02, , , , , , , , , , , , , , , , , , , , ,-528.0231,-3782.426,-775.1454, , , , , , , , , , , , , ,-533.212, , , ,287.8114,226.7777,170.0086,167.3032,147.5739, , , , 
PIH US Equity,1347 PROPERTY INSURANCE HOLD,-0.32,-0.02,-0.02,0.09,-0.18,0.22,-0.3,0.27,0.04,0.15,-0.38,0.23,0.33,0.05,-0.35,0.1388,12.2628,18.1537,22.1922,24.7618, ,58.0909, ,780,35.2174,49.8438,96.2237,58.8146,17.7302,24.21,20.7259,28.1528,11.3248,8.8926,8.8049,6.9272,12.2746,12.908,12.4658,9.2442,8.1503,11.3298,21.5038,22.2943,18.366,19.3447,9.4797,12.8519,-0.216,-1.7007,-3.2359,-3.449,-1.6225,1.4749,-2.1808,137.756,121.9622,71.5895,59.3767,53.4993,4.2861,2.5827,3.0428,1.7499
EFSH US Equity,1847 HOLDINGS LLC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87.0174,81.4523,81.1169,118.3179,98.1652, , , , 
TWOU US Equity,2U INC,-0.13,-0.23,-0.2,-0.07,-0.07,-0.18,-0.14,-0.05,-0.07,-0.25,-0.3,0.01,-0.28,-0.33,-0.17,0.08, , , , , , , , , , , , , , , , ,-63.1999,-30.0042,-18.9758,-18.5485,-17.2614,-16.9193,-11.3229,-10.695,-10.7316,-12.3774,-11.3002,-9.7933,-13.8541,-10.7548,-8.275,-7.4783, ,-30.3284,-19.2712,-18.8393,-17.4785,-17.0556,-11.2874,76.6293,65.583,61.3569,45.5233,3.5088,-14.0497,-10.7288,-8.0353,-7.0147
DTLS US Equity,3D TOTAL SOLUTIONS INC,-0.0012,-0.02,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1319.9545,-2063.3965,-7196.2441, , , , , , , , , , , , , , , , , , , , ,76.0845,75.2185,63.1537,58.2184,58.4934, , , , 
RNWR US Equity,808 RENEWABLE ENERGY CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71.9333,68.1107, ,117.7056, , , , , 
ATEN US Equity,A10 NETWORKS INC,-0.22,-0.16,-0.14,-0.12,-0.15,-0.08,-0.07,-0.048,-0.02,-0.11,-0.03,0.0572,-0.27,-0.06,-0.02,-0.02, , , , , , , , , , , , , , , , ,-41.0641,-49.9301,-49.3686,-42.9336,-41.6776,-36.5104,-31.687,-25.7091,-16.3447,-18.604,-15.4018,-8.7505,-27.2703,-23.5669,-22.9359,-28.0205,-43.7879,-52.8342,-52.196,-45.3301,-43.8271,-37.656,-32.4168,71.593,74.2762,65.0424,61.498,53.6904,-27.3047,-23.786,-23.2317,-27.3072
AAC US Equity,AAC HOLDINGS INC,0.1,0.26,0.11,0.02,0.03,0.04,-0.11,0.02,-0.03,-0.08,0.03,-0.8,-0.01,-0.12,-0.47, ,56.2311,54.6983,25.0744,21.1609,20.487,28.0183,22.6391,10.1459,13.4848,12.3618,20.6575,21.2413,25.8737,26.0029, , ,14.8616,18.8527,16.4875, ,11.4147,9.0572,5.768, ,5.9208,6.9075,9.49,6.8702,5.4872,2.9198,-1.2506, ,13.6811,18.9603,15.5905, ,7.342,3.188,-0.4082,69.329,45.8065,34.258,39.9483,37.503,-12.4531,-13.1936,-14.5796, 
ABQQ US Equity,AB INTERNATIONAL GROUP CORP, ,0,0, ,0,0,0,0,0,0,0,0.0022,0,0,-0.01,-0.0055, , , , , , , , , , , , , , , , , , , , , , , , ,-55.3639,-59.6616,-26.4645,-71.0099,-65.9801,-84.8287,-79.8026,-100.6823, , , , , , , ,67.4391,81.2494,70.777,72.4215,31.4447,34.6733,-1.8237,-44.2717,-125.3173
ABVN US Equity,ABV CONSULTING INC,0,0,0,-0.0014,0,0,0,-0.0049,0,0,0,0,0,0,0,-0.0003, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67.27,58.6507,53.341,49.5943,47.5918, , , , 
ACIU US Equity,AC IMMUNE SA, , ,0.47, , , ,-0.18,-0.09,-0.17,-0.22,-0.15,0.0727,-0.2,-0.19,-0.21,-0.2168, , , , , , , , , , , , , , , , , , , , , , , , , , ,-27.2881,-18.4074,-22.4606,-26.8125,-21.0067,-33.7402, , , , , , ,-7.1228,53.9972,56.3937,39.3529,31.7606,8.2208,-23.9198,-25.324,-21.0794,-34.6062
ACIA US Equity,ACACIA COMMUNICATIONS INC, , , ,0.7339,0.46,0.51,0.97,1.72,0.93,0.12,0.47,-0.52,-0.23,-0.08,0.2,0.23, , , , , , ,49.3923,18.891,15.8416,12.2705,15.914,21.4882,57.5656,100.0819,208.8782,156.8964, , , ,67.7994, , , ,51.787,54.0382,38.9043,30.9448,8.6656,-1.002,-2.6716,-4.8061,-0.036, , , , , , , ,50.5762, ,42.9986,27.5384,13.9747,-1.2864,-2.8521,-4.7881,0.9785
AKAO US Equity,ACHAOGEN INC,-0.34,-0.05,-0.48,-0.61,-0.66,-0.87,-0.41,-1.04,-0.93,-0.68,-0.7077,-0.8555,-1.06,-1.11,-0.92,-1.01, , , , , , , , , , , , , , , , ,-31.6031,-29.8639,-30.2682,-43.7502,-60.986,-79.4728,-80.2606,-60.0986,-90.7073,-59.7896,-89.0052,-88.2279,-121.992,-120.0708,-161.728,-191.0766,-32.9741,-29.7283,-33.9673,-50.2784,-72.0619,-103.2915,-124.7155,50.0569,59.9285,35.1829,14.2893,11.7882,-145.6089,-137.7144,-196.9697, 
ACRS US Equity,ACLARIS THERAPEUTICS INC, , ,-5.11,-0.28,-0.65,-0.62,-0.5,-0.49,-0.48,-0.56,-0.63,-0.74,-0.98,-1.01,-1.06,-0.99, , , , , , , , , , , , , , , , , , , , , ,-82.0706,-68.5746,-36.9421,-39.5009,-38.9186,-35.6921,-35.3987,-48.7111,-61.0776,-61.0829,-57.3472, , , , , , , ,44.4915,51.5091,44.8191,45.2168,67.0174,-47.784,-59.9234,-59.9718,-60.2826
GOLF US Equity,ACUSHNET HOLDINGS CORP, , , , , , ,-0.0422,-0.018,0.51,0.44,0.13,0.245,0.56,0.53,0.09,0.1527, , , , , , , , , ,20.9274,15.9572,15.9044,16.8749,16.8299,19.3241,15.8427, , , , , , , , , , ,8.8129,10.0665,8.9992,10.1439,10.517,9.5604, , , , , , , ,44.2264,42.607,40.2584,89.4499,70.186,12.5773,12.9936,12.5851,11.6389
