Ticker,Name,EPS:2015:Q1,EPS:2015:Q2,EPS:2015:Q3,EPS:2015:Q4,EPS:2016:Q1,EPS:2016:Q2,EPS:2016:Q3,EPS:2016:Q4,EPS:2017:Q1,EPS:2017:Q2,EPS:2017:Q3,EPS:2017:Q4,EPS:2018:Q1,EPS:2018:Q2,EPS:2018:Q3,EPS:2018:Q4,P/E:2015:Q1,P/E:2015:Q2,P/E:2015:Q3,P/E:2015:Q4,P/E:2016:Q1,P/E:2016:Q2,P/E:2016:Q3,P/E:2016:Q4,P/E:2017:Q1,P/E:2017:Q2,P/E:2017:Q3,P/E:2017:Q4,P/E:2018:Q1,P/E:2018:Q2,P/E:2018:Q3,P/E:2018:Q4,ROIC:2015:Q1,ROIC:2015:Q2,ROIC:2015:Q3,ROIC:2015:Q4,ROIC:2016:Q1,ROIC:2016:Q2,ROIC:2016:Q3,ROIC:2016:Q4,ROIC:2017:Q1,ROIC:2017:Q2,ROIC:2017:Q3,ROIC:2017:Q4,ROIC:2018:Q1,ROIC:2018:Q2,ROIC:2018:Q3,ROIC:2018:Q4,ROE:2015:Q1,ROE:2015:Q2,ROE:2015:Q3,ROE:2015:Q4,ROE:2016:Q1,ROE:2016:Q2,ROE:2016:Q3,ROE:2016:Q4,ROE:2017:Q1,ROE:2017:Q2,ROE:2017:Q3,ROE:2017:Q4,ROE:2018:Q1,ROE:2018:Q2,ROE:2018:Q3,ROE:2018:Q4,FCF:2015,FCF:2016,FCF:2017,FCF:2018,GICS Sector,GICS Ind,GICS Ind Grp,Total Liab To Total Liab & Equity:2015,Total Liab To Total Liab & Equity:2016,Total Liab To Total Liab & Equity:2017,Total Liab To Total Liab & Equity:2018,Market Cap:2015,Market Cap:2016,Market Cap:2017,Market Cap:2018
 ,Investable Universe (784),-2.6,-1.15,-2.13,-1.31,-1.02,-0.74,-0.91,-62.42,-0.66,-10.84,-0.87,0.27,-0.14,-0.18,-0.04,-0.09,52.16,85.31,46.68,52.7,55.41,114.63,48.13,87.65,41.94,1080,67.68,97.07,61.9,55.65,76.88,63.79,-171.67,-100.33,-137.88,-67.7,130.37,-93.72,-100.42,-99.41,-222.55,-122.99,-123.62,-54.81,-58.57,-89,-61.04,-49.1,-30.67,-27.53,-33.03,-34.98,-36.97,-38.79,-42.48,-40.63,-178.1,-43.03,-48.46,-40.46,-39.57,-41,-95.72,-41.34,66400000,110060000,154810000,209000000,34,345848,3458,542.48,569.05,14220.06,444.39,5270000000,4300000000,6110000000,8700000000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETC US Equity,12 RETECH CORP,0,0,0,0,0,0,0,-0.0001,0,0,-0.11, ,-0.01,-0.02,-0.02, , , , , , , , , , , , , , , , , , , , ,-528.0231,-3782.426,-775.1454, , , , , , , , , , , , , ,-533.212, , , ,287.8114,226.7777,170.0086,167.3032,147.5739, , , , ,-54270,-16480, , , , , ,94.8565,367.834, , , , , , 
PIH US Equity,1347 PROPERTY INSURANCE HOLD,-0.32,-0.02,-0.02,0.09,-0.18,0.22,-0.3,0.27,0.04,0.15,-0.38,0.23,0.33,0.05,-0.35,0.1388,12.2628,18.1537,22.1922,24.7618, ,58.0909, ,780,35.2174,49.8438,96.2237,58.8146,17.7302,24.21,20.7259,28.1528,11.3248,8.8926,8.8049,6.9272,12.2746,12.908,12.4658,9.2442,8.1503,11.3298,21.5038,22.2943,18.366,19.3447,9.4797,12.8519,-0.216,-1.7007,-3.2359,-3.449,-1.6225,1.4749,-2.1808,137.756,121.9622,71.5895,59.3767,53.4993,4.2861,2.5827,3.0428,1.7499,5369000,3289000,7499000,24742000,40,403010,4030,38.9654,45.9928,56.6207,57.5813,48638700,47643376,44486292,24171312
EFSH US Equity,1847 HOLDINGS LLC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87.0174,81.4523,81.1169,118.3179,98.1652, , , , , , , , , , , , , , , , , , , 
TWOU US Equity,2U INC,-0.13,-0.23,-0.2,-0.07,-0.07,-0.18,-0.14,-0.05,-0.07,-0.25,-0.3,0.01,-0.28,-0.33,-0.17,0.08, , , , , , , , , , , , , , , , ,-63.1999,-30.0042,-18.9758,-18.5485,-17.2614,-16.9193,-11.3229,-10.695,-10.7316,-12.3774,-11.3002,-9.7933,-13.8541,-10.7548,-8.275,-7.4783, ,-30.3284,-19.2712,-18.8393,-17.4785,-17.0556,-11.2874,76.6293,65.583,61.3569,45.5233,3.5088,-14.0497,-10.7288,-8.0353,-7.0147,-13363000,-2438000,-19210000,-15116000,45,451030,4510,15.2579,20.0896,19.5473,12.6766,1280825216,1421621760,3387152896,2882193408
DTLS US Equity,3D TOTAL SOLUTIONS INC,-0.0012,-0.02,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1319.9545,-2063.3965,-7196.2441, , , , , , , , , , , , , , , , , , , , ,76.0845,75.2185,63.1537,58.2184,58.4934, , , , , , , , , , , , , , , , , , , 
RNWR US Equity,808 RENEWABLE ENERGY CORP, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71.9333,68.1107, ,117.7056, , , , , , , , , ,55,551050,5510, , , , , , , , 
ATEN US Equity,A10 NETWORKS INC,-0.22,-0.16,-0.14,-0.12,-0.15,-0.08,-0.07,-0.048,-0.02,-0.11,-0.03,0.0572,-0.27,-0.06,-0.02,-0.02, , , , , , , , , , , , , , , , ,-41.0641,-49.9301,-49.3686,-42.9336,-41.6776,-36.5104,-31.687,-25.7091,-16.3447,-18.604,-15.4018,-8.7505,-27.2703,-23.5669,-22.9359,-28.0205,-43.7879,-52.8342,-52.196,-45.3301,-43.8271,-37.656,-32.4168,71.593,74.2762,65.0424,61.498,53.6904,-27.3047,-23.786,-23.2317,-27.3072,-86000,13906000,8580000,-5491000,45,451030,4510,58.4173,61.8185,56.2453,55.9586,420968320,564024640,553462272,463638240
AAC US Equity,AAC HOLDINGS INC,0.1,0.26,0.11,0.02,0.03,0.04,-0.11,0.02,-0.03,-0.08,0.03,-0.8,-0.01,-0.12,-0.47, ,56.2311,54.6983,25.0744,21.1609,20.487,28.0183,22.6391,10.1459,13.4848,12.3618,20.6575,21.2413,25.8737,26.0029, , ,14.8616,18.8527,16.4875, ,11.4147,9.0572,5.768, ,5.9208,6.9075,9.49,6.8702,5.4872,2.9198,-1.2506, ,13.6811,18.9603,15.5905, ,7.342,3.188,-0.4082,69.329,45.8065,34.258,39.9483,37.503,-12.4531,-13.1936,-14.5796, ,-45332000,-37161000,-13749000, ,35,351020,3510,56.8143,59.6784,68.2055, ,434831200,171399088,214851920, 
